Row:  Number of hashes:  Starting position:  Whitespace:
1       8                   1                   0
2       6                   2                   1
3       4                   3                   2
4       2                   4                   3

Ex 2.2:
Row:  Number of hashes:  Starting position:  Whitespace:  4-row:
1       2                   4                   3           3
2       4                   3                   2           2    
3       6                   2                   1           1
4       8                   1                   0           0    

5       8                   1                   0           -1
6       6                   2                   1           -2
7       4                   3                   2           -3
8       2                   4                   3           -4

Ex 2.3;
Row:  First Space:  Second Hash:  Whitespace:  Fourth Hash:
1       0                   1         12           1
2       1                   2         8           2    
3       2                   3         4           3
4       3                   4         0           4

1       3                   4         0           4
2       2                   3         4           3
3       1                   2         8           2
4       0                   1         12           1
